39,37,19,19,32,33,17,19,29,25,17,20,15,14,29,,17,21,19,21
38,37,24,20,34,30,12,12,29,32,18,26,15,15,18,,20,22,20,22
42,45,29,28,23,23,19,26,28,30,23,24,14,14,26,19,19,18,,18
21,29,25,25,23,26,13,13,23,25,19,22,15,17,21,19,,22,20,20
30,29,26,25,32,35,26,27,29,28,23,23,19,19,14,15,19,19,18,19
30,29,27,24,23,23,15,17,23,25,19,19,15,16,17,15,16,18,17,16
39,45,37,41,44,46,16,15,36,42,29,27,20,21,26,15,21,27,19,20
33,33,26,27,38,33,19,19,25,29,23,25,17,19,30,30,27,28,19,19
,30,26,32,32,27,25,,31,31,20,15,13,16,26,26,28,30,17,15
40,44,36,36,42,46,18,15,34,35,23,25,,17,,,21,21,13,
,23,19,19,20,27,17,18,18,16,14,13,13,14,20,22,14,14,12,14
43,39,32,41,37,40,13,15,43,43,18,17,12,13,13,,11,12,14,14
31,30,30,31,29,31,17,19,28,30,30,31,,13,24,20,17,17,19,20
34,38,29,30,30,26,19,17,33,32,23,22,15,16,20,13,17,15,23,25
41,28,20,20,21,21,18,11,24,23,21,22,13,13,20,19,16,16,13,14
25,29,26,23,23,22,12,12,26,24,22,20,13,14,,,16,17,16,17
28,28,28,32,28,26,15,12,29,33,19,17,16,18,20,20,18,24,17,17
28,28,29,28,32,35,25,24,33,34,32,34,16,17,,15,24,25,22,23
