"['Tacc_S1squat2_0t.csv', 4]"
"['Tacc_S13arm1_0.csv', 2]"
"['Tacc_S11crunch2_0.csv', 11]"
"['Tacc_S14bridge1_0.csv', 15]"
"['Tacc_S11upper1_0.csv', 34]"
"['Tacc_S15arm2_0.csv', 0]"
"['Tacc_S13squat2_0.csv', 0]"
"['Tacc_S14crunch1_0.csv', 9]"
"['Tacc_S15arm1_0.csv', 0]"
"['Tacc_S16bridge2_0.csv', 17]"
"['Tacc_S16crunch1_0.csv', 1]"
"['Tacc_S18bridge2_0.csv', 9]"
"['Tacc_S14lift1_0.csv', 8]"
"['Tacc_S12upper2_0.csv', 12]"
"['Tacc_S15elbow1_0.csv', 5]"
"['Tacc_S12lift2_0.csv', 18]"
"['Tacc_S17elbow2_0.csv', 4]"
"['Tacc_S1upper1_0t.csv', 12]"
"['Tacc_S16lunge1_0.csv', 15]"
"['Tacc_S11lift1_0.csv', 5]"
"['Tacc_S18bicep1_0.csv', 16]"
"['Tacc_S10bridge2_0.csv', 23]"
"['Tacc_S1elbow2_0t.csv', 6]"
"['Tacc_S18crunch1_0.csv', 8]"
"['Tacc_S13bridge2_0.csv', 1]"
"['Tacc_S12pushup1_0.csv', 10]"
"['Tacc_S18elbow2_0.csv', 18]"
"['Tacc_S14crunch2_0.csv', 12]"
"['Tacc_S15lift2_0.csv', 15]"
"['Tacc_S10upper1_0.csv', 20]"
"['Tacc_S10arm1_0t.csv', 0]"
"['Tacc_S10arm2_0.csv', 0]"
"['Tacc_S16upper2_0.csv', 14]"
"['Tacc_S11bicep2_0.csv', 19]"
"['Tacc_S15crunch1_0.csv', 6]"
"['Tacc_S10crunch1_0.csv', 8]"
"['Tacc_S17crunch1_0.csv', 4]"
"['Tacc_S18upper1_0.csv', 27]"
"['Tacc_S11bridge1_0.csv', 6]"
"['Tacc_S12lunge2_0.csv', 27]"
"['Tacc_S13crunch2_0.csv', 10]"
"['Tacc_S15lunge1_0.csv', 18]"
"['Tacc_S16crunch2_0.csv', 10]"
"['Tacc_S12bridge2_0.csv', 3]"
"['Tacc_S15pushup1_0.csv', 2]"
"['Tacc_S12arm1_0.csv', 0]"
"['Tacc_S11elbow1_0.csv', 0]"
"['Tacc_S10bridge1_0.csv', 15]"
"['Tacc_S17upper1_0.csv', 13]"
"['Tacc_S10crunch2_0.csv', 6]"
"['Tacc_S11bridge2_0.csv', 18]"
"['Tacc_S15upper1_0.csv', 48]"
"['Tacc_S10elbow2_0.csv', 23]"
"['Tacc_S16arm1_0.csv', 0]"
"['Tacc_S2pushup1_0t.csv', 8]"
"['Tacc_S2upper2_0t.csv', 9]"
"['Tacc_S2squat2_0t.csv', 15]"
"['Tacc_S2bicep1_0t.csv', 24]"
"['Tacc_S2lunge1_0t.csv', 2]"
"['Tacc_S2lift1_0t.csv', 6]"
"['Tacc_S2bridge2_0t.csv', 5]"
"['Tacc_S2squat1_0t.csv', 13]"
"['Tacc_S2elbow1_0t.csv', 24]"
"['Tacc_S2crunch2_0t.csv', 1]"
"['Tacc_S2lunge2_0t.csv', 20]"
"['Tacc_S2bicep2_0t.csv', 16]"
"['Tacc_S2arm1_0t.csv', 1]"
"['Tacc_S2crunch1_0t.csv', 4]"
"['Tacc_S2arm2_0t.csv', 2]"
"['Tacc_S2elbow2_0t.csv', 20]"
"['Tacc_S2upper1_0t.csv', 1]"
"['Tacc_S2lift2_0t.csv', 9]"
"['Tacc_S2bridge1_0t.csv', 6]"
"['Tacc_S3lunge2_0t.csv', 22]"
"['Tacc_S3crunch1_0t.csv', 11]"
"['Tacc_S3crunch2_0t.csv', 7]"
"['Tacc_S3arm2_0t.csv', 1]"
"['Tacc_S3arm1_0t.csv', 0]"
"['Tacc_S3elbow1_0t.csv', 1]"
"['Tacc_S3squat2_0t.csv', 11]"
"['Tacc_S3lift2_0t.csv', 14]"
"['Tacc_S3pushup2_0t.csv', 2]"
"['Tacc_S3bridge1_0t.csv', 24]"
